Loja,Estado,Data da Venda,Produto,Marca,Categoria,Preço Unitário,Custo Unitário,Tamanho Pedido
Recife,Pernanbuco,2017-01-05,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Rio de Janeiro,Rio de Janeiro,2017-01-05,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Rio de Janeiro,Rio de Janeiro,2017-01-05,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Rio de Janeiro,Rio de Janeiro,2017-01-08,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Rio de Janeiro,Rio de Janeiro,2017-01-08,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Rio de Janeiro,Rio de Janeiro,2017-01-08,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Rio de Janeiro,Rio de Janeiro,2017-01-08,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Rio de Janeiro,Rio de Janeiro,2017-01-08,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Guarulhos,São Paulo,2017-01-08,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Fortaleza,Ceara,2017-01-08,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
São Paulo,São Paulo,2017-01-09,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
São Paulo,São Paulo,2017-01-09,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Guarulhos,São Paulo,2017-01-09,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Curitiba,Paraná,2017-01-10,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Nova Iguaçu,Rio de Janeiro,2017-01-11,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Rio de Janeiro,Rio de Janeiro,2017-01-11,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Fortaleza,Ceara,2017-01-11,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Niterói,Rio de Janeiro,2017-01-11,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Salvador,Bahia,2017-01-13,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Curitiba,Paraná,2017-01-13,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
São Paulo,São Paulo,2017-01-13,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Guarulhos,São Paulo,2017-01-13,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
São Paulo,São Paulo,2017-01-14,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Salvador,Bahia,2017-01-14,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Campinas,São Paulo,2017-01-14,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Salvador,Bahia,2017-01-15,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
São Paulo,São Paulo,2017-01-15,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Belo Horizonte,Minas Gerais,2017-01-16,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
São Paulo,São Paulo,2017-01-19,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Curitiba,Paraná,2017-01-19,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Fortaleza,Ceara,2017-01-20,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Salvador,Bahia,2017-01-20,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
São Paulo,São Paulo,2017-01-20,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
São Paulo,São Paulo,2017-01-21,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
São Paulo,São Paulo,2017-01-22,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
São Paulo,São Paulo,2017-01-22,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Recife,Pernanbuco,2017-01-23,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Recife,Pernanbuco,2017-01-24,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Rio de Janeiro,Rio de Janeiro,2017-01-26,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Rio de Janeiro,Rio de Janeiro,2017-01-26,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Belo Horizonte,Minas Gerais,2017-01-26,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
São Paulo,São Paulo,2017-01-27,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Belo Horizonte,Minas Gerais,2017-01-27,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Recife,Pernanbuco,2017-01-27,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Recife,Pernanbuco,2017-01-28,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Guarulhos,São Paulo,2017-01-28,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Curitiba,Paraná,2017-01-28,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Goiânia,Goias,2017-01-28,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Salvador,Bahia,2017-01-29,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Fortaleza,Ceara,2017-01-29,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Curitiba,Paraná,2017-01-30,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Niterói,Rio de Janeiro,2017-01-30,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Porto Alegre,Rio Grande do Sul,2017-01-30,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Fortaleza,Ceara,2017-02-02,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Guarulhos,São Paulo,2017-02-03,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
São Paulo,São Paulo,2017-02-05,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Salvador,Bahia,2017-02-06,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Goiânia,Goias,2017-02-06,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Recife,Pernanbuco,2017-02-08,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Fortaleza,Ceara,2017-02-08,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Rio de Janeiro,Rio de Janeiro,2017-02-08,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Belo Horizonte,Minas Gerais,2017-02-09,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Recife,Pernanbuco,2017-02-09,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Porto Alegre,Rio Grande do Sul,2017-02-11,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Goiânia,Goias,2017-02-12,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Nova Iguaçu,Rio de Janeiro,2017-02-12,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Guarulhos,São Paulo,2017-02-13,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Goiânia,Goias,2017-02-14,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
São Paulo,São Paulo,2017-02-16,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Rio de Janeiro,Rio de Janeiro,2017-02-16,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Fortaleza,Ceara,2017-02-16,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
São Paulo,São Paulo,2017-02-17,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
São Paulo,São Paulo,2017-02-18,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Recife,Pernanbuco,2017-02-20,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
São Paulo,São Paulo,2017-02-20,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
São Paulo,São Paulo,2017-02-20,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Goiânia,Goias,2017-02-21,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Curitiba,Paraná,2017-02-21,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
São Paulo,São Paulo,2017-02-21,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
São Paulo,São Paulo,2017-02-22,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
São Paulo,São Paulo,2017-02-23,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
São Paulo,São Paulo,2017-02-24,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Fortaleza,Ceara,2017-02-24,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Campinas,São Paulo,2017-02-24,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Recife,Pernanbuco,2017-02-25,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
São Paulo,São Paulo,2017-02-25,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Nova Iguaçu,Rio de Janeiro,2017-02-26,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Belo Horizonte,Minas Gerais,2017-02-26,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Belo Horizonte,Minas Gerais,2017-02-28,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
São Paulo,São Paulo,2017-03-02,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Rio de Janeiro,Rio de Janeiro,2017-03-03,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
São Paulo,São Paulo,2017-03-03,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Campinas,São Paulo,2017-03-07,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Niterói,Rio de Janeiro,2017-03-07,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
São Paulo,São Paulo,2017-03-08,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Rio de Janeiro,Rio de Janeiro,2017-03-09,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
São Paulo,São Paulo,2017-03-11,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Rio de Janeiro,Rio de Janeiro,2017-03-11,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Fortaleza,Ceara,2017-03-11,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Salvador,Bahia,2017-03-12,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
São Paulo,São Paulo,2017-03-13,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Niterói,Rio de Janeiro,2017-03-13,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
São Paulo,São Paulo,2017-03-13,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Porto Alegre,Rio Grande do Sul,2017-03-16,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
São Paulo,São Paulo,2017-03-16,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Niterói,Rio de Janeiro,2017-03-16,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Belo Horizonte,Minas Gerais,2017-03-16,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Recife,Pernanbuco,2017-03-17,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
São Paulo,São Paulo,2017-03-18,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Nova Iguaçu,Rio de Janeiro,2017-03-18,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
São Paulo,São Paulo,2017-03-18,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Porto Alegre,Rio Grande do Sul,2017-03-20,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Rio de Janeiro,Rio de Janeiro,2017-03-21,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Guarulhos,São Paulo,2017-03-21,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Salvador,Bahia,2017-03-21,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Fortaleza,Ceara,2017-03-22,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Recife,Pernanbuco,2017-03-22,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Fortaleza,Ceara,2017-03-24,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
São Paulo,São Paulo,2017-03-25,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Fortaleza,Ceara,2017-03-26,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Fortaleza,Ceara,2017-03-27,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
São Paulo,São Paulo,2017-03-28,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Recife,Pernanbuco,2017-03-28,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Nova Iguaçu,Rio de Janeiro,2017-03-28,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Rio de Janeiro,Rio de Janeiro,2017-03-28,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Porto Alegre,Rio Grande do Sul,2017-03-29,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
São Paulo,São Paulo,2017-03-29,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
São Paulo,São Paulo,2017-03-29,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Salvador,Bahia,2017-03-29,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Guarulhos,São Paulo,2017-04-02,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Fortaleza,Ceara,2017-04-02,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Goiânia,Goias,2017-04-02,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Curitiba,Paraná,2017-04-03,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Rio de Janeiro,Rio de Janeiro,2017-04-03,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
São Paulo,São Paulo,2017-04-03,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Salvador,Bahia,2017-04-03,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Fortaleza,Ceara,2017-04-04,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
São Paulo,São Paulo,2017-04-05,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
São Paulo,São Paulo,2017-04-05,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Rio de Janeiro,Rio de Janeiro,2017-04-05,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
São Paulo,São Paulo,2017-04-06,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Belo Horizonte,Minas Gerais,2017-04-08,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Rio de Janeiro,Rio de Janeiro,2017-04-09,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Guarulhos,São Paulo,2017-04-09,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
São Paulo,São Paulo,2017-04-12,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Rio de Janeiro,Rio de Janeiro,2017-04-12,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Belo Horizonte,Minas Gerais,2017-04-13,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Porto Alegre,Rio Grande do Sul,2017-04-13,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Belo Horizonte,Minas Gerais,2017-04-15,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Salvador,Bahia,2017-04-16,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Salvador,Bahia,2017-04-16,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Campinas,São Paulo,2017-04-18,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Goiânia,Goias,2017-04-18,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
São Paulo,São Paulo,2017-04-19,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Recife,Pernanbuco,2017-04-20,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Fortaleza,Ceara,2017-04-21,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Nova Iguaçu,Rio de Janeiro,2017-04-21,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Campinas,São Paulo,2017-04-22,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Salvador,Bahia,2017-04-22,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Fortaleza,Ceara,2017-04-23,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
São Paulo,São Paulo,2017-04-25,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Rio de Janeiro,Rio de Janeiro,2017-04-26,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
São Paulo,São Paulo,2017-04-26,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Salvador,Bahia,2017-04-27,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Rio de Janeiro,Rio de Janeiro,2017-04-27,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
São Paulo,São Paulo,2017-04-29,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
São Paulo,São Paulo,2017-04-29,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Recife,Pernanbuco,2017-04-29,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
São Paulo,São Paulo,2017-04-30,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
São Paulo,São Paulo,2017-05-01,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Goiânia,Goias,2017-05-02,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Goiânia,Goias,2017-05-04,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Fortaleza,Ceara,2017-05-04,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Salvador,Bahia,2017-05-04,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
São Paulo,São Paulo,2017-05-06,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Goiânia,Goias,2017-05-06,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Porto Alegre,Rio Grande do Sul,2017-05-07,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Guarulhos,São Paulo,2017-05-08,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Recife,Pernanbuco,2017-05-08,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Recife,Pernanbuco,2017-05-09,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Recife,Pernanbuco,2017-05-09,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Rio de Janeiro,Rio de Janeiro,2017-05-10,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
São Paulo,São Paulo,2017-05-11,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Recife,Pernanbuco,2017-05-12,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
São Paulo,São Paulo,2017-05-13,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Campinas,São Paulo,2017-05-13,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Campinas,São Paulo,2017-05-14,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Recife,Pernanbuco,2017-05-15,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
São Paulo,São Paulo,2017-05-16,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Rio de Janeiro,Rio de Janeiro,2017-05-16,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
São Paulo,São Paulo,2017-05-16,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
São Paulo,São Paulo,2017-05-16,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Niterói,Rio de Janeiro,2017-05-17,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Curitiba,Paraná,2017-05-19,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Recife,Pernanbuco,2017-05-19,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
São Paulo,São Paulo,2017-05-19,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Recife,Pernanbuco,2017-05-19,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Porto Alegre,Rio Grande do Sul,2017-05-21,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
São Paulo,São Paulo,2017-05-22,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Porto Alegre,Rio Grande do Sul,2017-05-24,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Nova Iguaçu,Rio de Janeiro,2017-05-25,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Guarulhos,São Paulo,2017-05-25,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Recife,Pernanbuco,2017-05-26,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Niterói,Rio de Janeiro,2017-05-27,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Campinas,São Paulo,2017-05-28,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
São Paulo,São Paulo,2017-05-29,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Rio de Janeiro,Rio de Janeiro,2017-05-29,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Fortaleza,Ceara,2017-05-29,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Goiânia,Goias,2017-05-29,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Salvador,Bahia,2017-05-31,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Salvador,Bahia,2017-06-02,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Porto Alegre,Rio Grande do Sul,2017-06-03,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Nova Iguaçu,Rio de Janeiro,2017-06-03,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
São Paulo,São Paulo,2017-06-03,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Fortaleza,Ceara,2017-06-04,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Campinas,São Paulo,2017-06-05,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Fortaleza,Ceara,2017-06-05,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Rio de Janeiro,Rio de Janeiro,2017-06-05,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
São Paulo,São Paulo,2017-06-06,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Salvador,Bahia,2017-06-06,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Rio de Janeiro,Rio de Janeiro,2017-06-08,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Campinas,São Paulo,2017-06-08,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Guarulhos,São Paulo,2017-06-09,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Fortaleza,Ceara,2017-06-09,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Recife,Pernanbuco,2017-06-09,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Curitiba,Paraná,2017-06-10,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Fortaleza,Ceara,2017-06-11,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Salvador,Bahia,2017-06-11,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Curitiba,Paraná,2017-06-11,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Campinas,São Paulo,2017-06-12,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
São Paulo,São Paulo,2017-06-13,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Rio de Janeiro,Rio de Janeiro,2017-06-13,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Niterói,Rio de Janeiro,2017-06-13,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
São Paulo,São Paulo,2017-06-13,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
São Paulo,São Paulo,2017-06-15,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Salvador,Bahia,2017-06-15,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Recife,Pernanbuco,2017-06-15,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Guarulhos,São Paulo,2017-06-16,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Nova Iguaçu,Rio de Janeiro,2017-06-16,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Salvador,Bahia,2017-06-17,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Recife,Pernanbuco,2017-06-17,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Goiânia,Goias,2017-06-17,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Fortaleza,Ceara,2017-06-17,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Recife,Pernanbuco,2017-06-17,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Salvador,Bahia,2017-06-18,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Curitiba,Paraná,2017-06-18,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
São Paulo,São Paulo,2017-06-21,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
São Paulo,São Paulo,2017-06-22,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
São Paulo,São Paulo,2017-06-22,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
São Paulo,São Paulo,2017-06-23,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Belo Horizonte,Minas Gerais,2017-06-23,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Fortaleza,Ceara,2017-06-27,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Porto Alegre,Rio Grande do Sul,2017-06-27,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Fortaleza,Ceara,2017-06-27,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Recife,Pernanbuco,2017-06-28,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
São Paulo,São Paulo,2017-06-28,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Recife,Pernanbuco,2017-06-28,Câmera Digital Rebel T6,Canon,Câmera,1500,850,2
Curitiba,Paraná,2017-06-28,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Salvador,Bahia,2017-06-29,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Fortaleza,Ceara,2017-06-29,Câmera Digital Rebel T6,Canon,Câmera,1500,850,1
Fortaleza,Ceara,2017-07-01,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Goiânia,Goias,2017-07-01,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Rio de Janeiro,Rio de Janeiro,2017-07-02,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Salvador,Bahia,2017-07-02,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Campinas,São Paulo,2017-07-03,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Goiânia,Goias,2017-07-03,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Curitiba,Paraná,2017-07-04,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
São Paulo,São Paulo,2017-07-05,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Salvador,Bahia,2017-07-05,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
Campinas,São Paulo,2017-07-05,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Recife,Pernanbuco,2017-07-05,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Fortaleza,Ceara,2017-07-06,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
São Paulo,São Paulo,2017-07-06,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
São Paulo,São Paulo,2017-07-06,Câmera Digital Rebel T6,Canon,Câmera,1500,850,4
Belo Horizonte,Minas Gerais,2017-07-06,Câmera Digital Rebel T6,Canon,Câmera,1500,850,3
Campinas,São Paulo,2017-07-07,Câmera Digital Rebel T6,Canon,Câmera,1500,850,5
