Produto,Categoria,Preco,Quantidade,DataVenda
Smart TV 50' 4K,Televisão,2600,4,2016-11-23
TV LED 32',Televisão,1400,3,2016-11-23
Aspire 5,Notebook,2400,4,2016-11-23
Smart TV LED Full HD 55',Televisão,2000,4,2016-11-23
Câmera Coolpix L340,Câmera,1550,3,2016-11-23
Galaxy S8,Celular,3000,2,2016-11-23
Smart TV 50' 4K,Televisão,2600,5,2016-11-23
Câmera Coolpix L340,Câmera,1550,4,2016-11-23
Smart Watch MI,Smart Watch,1200,5,2016-11-24
Câmera Digital Rebel T6,Câmera,1500,4,2016-11-24
iPhone XS,Celular,6500,5,2016-11-24
Inspiron 15,Notebook,2300,4,2016-11-24
Câmera Digital Rebel T6,Câmera,1500,3,2016-11-24
Inspiron 15,Notebook,2300,5,2016-11-24
Tablet M10 Android,Tablet,2000,1,2016-11-24
iPhone 6S,Celular,1900,5,2016-11-24
Moto G7,Celular,1400,4,2016-11-24
Smart Watch MI,Smart Watch,1200,1,2016-11-24
Smart TV 50' 4K,Televisão,2600,5,2016-11-24
Inspiron 15,Notebook,2300,3,2016-11-24
Câmera Digital Rebel T6,Câmera,1500,2,2016-11-24
Smart TV 50' 4K,Televisão,2600,2,2016-11-24
Dell G7,Notebook,5500,3,2016-11-24
Galaxy S10,Celular,4500,2,2016-11-24
Moto G7,Celular,1400,2,2016-11-24
Câmera Digital Sony Cyber,Câmera,700,5,2016-11-24
Aspire 5,Notebook,2400,2,2016-11-24
Smart TV 50' 4K,Televisão,2600,3,2016-11-24
Smart TV 50' 4K,Televisão,2600,3,2016-11-24
Câmera Coolpix L340,Câmera,1550,2,2016-11-24
Câmera Digital Rebel T6,Câmera,1500,4,2016-11-24
Câmera Digital Rebel T6,Câmera,1500,3,2016-11-24
Smart TV LED Full HD 55',Televisão,2000,5,2016-11-25
Câmera Digital Sony Cyber,Câmera,700,2,2016-11-25
Câmera Digital Sony Cyber,Câmera,700,3,2016-11-25
Moto G7,Celular,1400,4,2016-11-25
Galaxy J8,Celular,1100,5,2016-11-25
Câmera Digital Sony Cyber,Câmera,700,5,2016-11-25
Moto Z,Celular,1500,3,2016-11-25
Smart TV LED Full HD 55',Televisão,2000,2,2016-11-25
Câmera Digital Rebel T6,Câmera,1500,2,2016-11-25
Galaxy S8,Celular,3000,2,2016-11-25
Samsung Dual Core,Notebook,1500,4,2016-11-25
Smart TV 50' 4K,Televisão,2600,3,2016-11-25
Moto G7,Celular,1400,5,2016-11-25
iPhone XS,Celular,6500,4,2016-11-25
Moto G7,Celular,1400,4,2016-11-25
iPhone XS,Celular,6500,4,2016-11-25
iPhone 7,Celular,2500,5,2016-11-25
iPhone 7,Celular,2500,2,2016-11-25
Smart TV 50' 4K,Televisão,2600,5,2016-11-25
iPhone 7,Celular,2500,3,2016-11-26
Câmera Digital Rebel T6,Câmera,1500,2,2016-11-26
Smart TV LED Full HD 55',Televisão,2000,1,2016-11-26
Câmera Digital Rebel T6,Câmera,1500,3,2016-11-26
Galaxy S8,Celular,3000,4,2016-11-26
Câmera Coolpix L340,Câmera,1550,3,2016-11-26
Apple Watch,Smart Watch,1750,1,2016-11-26
Aspire 5,Notebook,2400,4,2016-11-26
Câmera Digital Sony Cyber,Câmera,700,2,2016-11-26
Galaxy S8,Celular,3000,5,2016-11-26
Moto Z,Celular,1500,5,2016-11-26
Aspire 5,Notebook,2400,5,2016-11-26
Moto G7,Celular,1400,5,2016-11-26
Smart TV LED Full HD 55',Televisão,2000,5,2016-11-26
Smart TV 50' 4K,Televisão,2600,4,2016-11-26
Smart TV 50' 4K,Televisão,2600,5,2016-11-26
Smart TV 50' 4K,Televisão,2600,5,2016-11-26
Smart Watch MI,Smart Watch,1200,3,2016-11-26
Smart TV 50' 4K,Televisão,2600,4,2016-11-26
Samsung Dual Core,Notebook,1500,3,2016-11-26
Dell G7,Notebook,5500,1,2016-11-26
Câmera Digital Rebel T6,Câmera,1500,1,2016-11-26
Câmera Digital Rebel T6,Câmera,1500,3,2016-11-26
TV LED 32',Televisão,1400,3,2016-11-26
Moto Z,Celular,1500,3,2016-11-26
Galaxy S8,Celular,3000,2,2016-11-27
Smart TV 50' 4K,Televisão,2600,4,2016-11-27
Câmera Digital Rebel T6,Câmera,1500,4,2016-11-27
Smart TV 50' 4K,Televisão,2600,2,2016-11-27
Smart TV 50' 4K,Televisão,2600,1,2016-11-27
Inspiron 15,Notebook,2300,2,2016-11-27
Câmera Coolpix L340,Câmera,1550,4,2016-11-27
iPhone XS,Celular,6500,2,2016-11-27
Galaxy S10,Celular,4500,1,2016-11-27
Samsung Dual Core,Notebook,1500,5,2016-11-27
Smart TV LED Full HD 55',Televisão,2000,4,2016-11-27
Galaxy J8,Celular,1100,4,2016-11-27
Moto Z,Celular,1500,5,2016-11-27
Galaxy J8,Celular,1100,4,2016-11-27
Câmera Coolpix L340,Câmera,1550,5,2016-11-28
Smart TV LED Full HD 55',Televisão,2000,2,2016-11-28
Aspire 5,Notebook,2400,2,2016-11-28
iPhone XS,Celular,6500,5,2016-11-28
Câmera Digital Sony Cyber,Câmera,700,4,2016-11-28
Moto G7,Celular,1400,4,2016-11-28
Galaxy S10,Celular,4500,4,2016-11-28
Samsung Dual Core,Notebook,1500,5,2016-11-28
Galaxy S8,Celular,3000,4,2016-11-28
Moto Z,Celular,1500,5,2016-11-28
Samsung Dual Core,Notebook,1500,5,2016-11-28
iPhone 6S,Celular,1900,4,2016-11-28
Câmera Digital Rebel T6,Câmera,1500,3,2016-11-28
Câmera Digital Sony Cyber,Câmera,700,1,2016-11-28
Samsung Dual Core,Notebook,1500,4,2016-11-28
Aspire 5,Notebook,2400,2,2016-11-28
Smart TV 50' 4K,Televisão,2600,3,2016-11-28
Aspire 5,Notebook,2400,4,2016-11-28
Smart TV LED Full HD 55',Televisão,2000,3,2016-11-28
iPhone XS,Celular,6500,4,2016-11-28
Câmera Digital Sony Cyber,Câmera,700,2,2016-11-28
Moto G7,Celular,1400,2,2016-11-28
Inspiron 15,Notebook,2300,3,2016-11-28
TV LED 32',Televisão,1400,1,2016-11-29
Smart TV LED Full HD 55',Televisão,2000,1,2016-11-29
Moto Z,Celular,1500,2,2016-11-29
Dell G7,Notebook,5500,4,2016-11-29
Samsung Dual Core,Notebook,1500,4,2016-11-29
Smart TV 50' 4K,Televisão,2600,3,2016-11-29
Smart Watch MI,Smart Watch,1200,2,2016-11-29
Galaxy J8,Celular,1100,2,2016-11-29
Câmera Digital Sony Cyber,Câmera,700,4,2016-11-29
Câmera Digital Rebel T6,Câmera,1500,2,2016-11-29
iPhone XS,Celular,6500,4,2016-11-29
Moto G7,Celular,1400,3,2016-11-29
Inspiron 15,Notebook,2300,4,2016-11-29
Galaxy S10,Celular,4500,2,2016-11-29
Câmera Digital Rebel T6,Câmera,1500,4,2016-11-29
Moto G7,Celular,1400,2,2016-11-29
Câmera Digital Rebel T6,Câmera,1500,2,2016-11-29
Inspiron 15,Notebook,2300,1,2016-11-29
Smart TV 50' 4K,Televisão,2600,2,2016-11-30
Moto G7,Celular,1400,1,2016-11-30
Moto G7,Celular,1400,5,2016-11-30
Câmera Coolpix L340,Câmera,1550,5,2016-11-30
iPhone 7,Celular,2500,5,2016-11-30
Moto G7,Celular,1400,1,2016-11-30
Smart TV 50' 4K,Televisão,2600,2,2016-11-30
iPhone 7,Celular,2500,4,2016-11-30
TV LED 32',Televisão,1400,3,2016-11-30
iPhone 7,Celular,2500,2,2016-11-30
Câmera Digital Sony Cyber,Câmera,700,3,2016-11-30
Samsung Dual Core,Notebook,1500,1,2016-11-30
Câmera Digital Rebel T6,Câmera,1500,3,2016-11-30
iPhone 7,Celular,2500,1,2016-11-30
Câmera Digital Sony Cyber,Câmera,700,2,2016-11-30
Samsung Dual Core,Notebook,1500,4,2016-11-30
Moto Z,Celular,1500,3,2016-11-30
Câmera Digital Rebel T6,Câmera,1500,5,2016-11-30
Apple Watch,Smart Watch,1750,3,2016-11-30
Samsung Dual Core,Notebook,1500,5,2016-12-01
Smart TV 50' 4K,Televisão,2600,2,2016-12-01
Câmera Digital Sony Cyber,Câmera,700,2,2016-12-01
Câmera Digital Rebel T6,Câmera,1500,4,2016-12-01
Câmera Digital Rebel T6,Câmera,1500,2,2016-12-01
Smart TV 75' 4K,Televisão,5200,5,2016-12-01
Dell G7,Notebook,5500,5,2016-12-01
Inspiron 15,Notebook,2300,1,2016-12-01
Smart TV 50' 4K,Televisão,2600,3,2016-12-01
iPad 32GB Wifi,Tablet,750,3,2016-12-01
Moto G7,Celular,1400,4,2016-12-01
Câmera Digital Sony Cyber,Câmera,700,1,2016-12-01
Dell G7,Notebook,5500,1,2016-12-01
Câmera Digital Rebel T6,Câmera,1500,5,2016-12-01
Inspiron 15,Notebook,2300,4,2016-12-01
Galaxy S8,Celular,3000,3,2016-12-01
TV LED 32',Televisão,1400,4,2016-12-01
Smart TV LED Full HD 55',Televisão,2000,3,2016-12-01
iPhone XS,Celular,6500,1,2016-12-02
Smart TV 50' 4K,Televisão,2600,1,2016-12-02
iPhone 6S,Celular,1900,4,2016-12-02
Moto G7,Celular,1400,1,2016-12-02
Inspiron 15,Notebook,2300,4,2016-12-02
Câmera Digital Sony Cyber,Câmera,700,2,2016-12-02
Câmera Digital Rebel T6,Câmera,1500,5,2016-12-02
Moto Z,Celular,1500,2,2016-12-02
Câmera Digital Rebel T6,Câmera,1500,3,2016-12-02
Smart TV LED Full HD 55',Televisão,2000,3,2016-12-02
Smart TV 50' 4K,Televisão,2600,1,2016-12-02
iPhone 6S,Celular,1900,1,2016-12-02
Smart TV 50' 4K,Televisão,2600,2,2016-12-02
Moto Z,Celular,1500,2,2016-12-02
TV LED 32',Televisão,1400,1,2016-12-02
Câmera Digital Sony Cyber,Câmera,700,1,2016-12-02
Galaxy S8,Celular,3000,5,2016-12-02
Câmera Digital Sony Cyber,Câmera,700,5,2016-12-02
Moto G7,Celular,1400,4,2016-12-02
Smart TV 50' 4K,Televisão,2600,3,2016-12-02
Aspire 5,Notebook,2400,5,2016-12-02
Samsung Dual Core,Notebook,1500,3,2016-12-02
Câmera Digital Sony Cyber,Câmera,700,1,2016-12-02
Moto G7,Celular,1400,1,2016-12-02
Smart TV 50' 4K,Televisão,2600,2,2016-12-02
Moto G7,Celular,1400,1,2016-12-02
Moto G7,Celular,1400,5,2016-12-02
Smart TV 50' 4K,Televisão,2600,2,2016-12-02
Moto G7,Celular,1400,5,2016-12-02
Dell G7,Notebook,5500,2,2016-12-03
Galaxy S10,Celular,4500,3,2016-12-03
Câmera Coolpix L340,Câmera,1550,4,2016-12-03
iPhone 7,Celular,2500,2,2016-12-03
Smart TV 50' 4K,Televisão,2600,5,2016-12-03
Moto G7,Celular,1400,3,2016-12-03
iPhone XS,Celular,6500,4,2016-12-03
Câmera Digital Rebel T6,Câmera,1500,1,2016-12-03
iPhone XS,Celular,6500,1,2016-12-03
Inspiron 15,Notebook,2300,1,2016-12-03
Smart TV 50' 4K,Televisão,2600,5,2016-12-03
Smart TV 50' 4K,Televisão,2600,1,2016-12-03
Galaxy S10,Celular,4500,1,2016-12-03
Galaxy S10,Celular,4500,3,2016-12-03
Câmera Digital Rebel T6,Câmera,1500,4,2016-12-03
Smart TV 50' 4K,Televisão,2600,5,2016-12-03
Smart TV 50' 4K,Televisão,2600,5,2016-12-03
Câmera Digital Sony Cyber,Câmera,700,5,2016-12-03
Samsung Dual Core,Notebook,1500,1,2016-12-03
Aspire 5,Notebook,2400,3,2016-12-03
Galaxy S8,Celular,3000,1,2016-12-03
Smart TV LED Full HD 55',Televisão,2000,2,2016-12-03
Smart TV 75' 4K,Televisão,5200,1,2016-12-03
Câmera Digital Rebel T6,Câmera,1500,4,2016-12-03
iPhone 7,Celular,2500,1,2016-12-03
Galaxy S8,Celular,3000,3,2016-12-03
Smart TV 50' 4K,Televisão,2600,3,2016-12-04
Câmera Digital Rebel T6,Câmera,1500,5,2016-12-04
Smart Watch MI,Smart Watch,1200,1,2016-12-04
Aspire 5,Notebook,2400,1,2016-12-04
Câmera Digital Sony Cyber,Câmera,700,2,2016-12-04
Smart TV 50' 4K,Televisão,2600,3,2016-12-04
Inspiron 15,Notebook,2300,1,2016-12-04
Câmera Digital Sony Cyber,Câmera,700,1,2016-12-04
iPhone 6S,Celular,1900,2,2016-12-04
Câmera Digital Rebel T6,Câmera,1500,4,2016-12-04
Galaxy S10,Celular,4500,5,2016-12-04
TV LED 32',Televisão,1400,3,2016-12-04
Câmera Digital Sony Cyber,Câmera,700,5,2016-12-04
Câmera Digital Sony Cyber,Câmera,700,3,2016-12-04
Smart TV LED Full HD 55',Televisão,2000,3,2016-12-04
Câmera Digital Sony Cyber,Câmera,700,2,2016-12-04
Câmera Coolpix L340,Câmera,1550,3,2016-12-04
Aspire 5,Notebook,2400,4,2016-12-04
Moto G7,Celular,1400,3,2016-12-04
Smart TV LED Full HD 55',Televisão,2000,5,2016-12-04
Galaxy S8,Celular,3000,2,2016-12-04
Moto Z,Celular,1500,5,2016-12-04
Câmera Digital Sony Cyber,Câmera,700,2,2016-12-04
Smart TV 50' 4K,Televisão,2600,5,2016-12-05
Câmera Digital Rebel T6,Câmera,1500,4,2016-12-05
Câmera Coolpix L340,Câmera,1550,2,2016-12-05
Smart Watch MI,Smart Watch,1200,2,2016-12-05
Galaxy J8,Celular,1100,5,2016-12-05
Moto G7,Celular,1400,5,2016-12-05
Câmera Coolpix L340,Câmera,1550,4,2016-12-05
Moto Z,Celular,1500,2,2016-12-05
iPhone XS,Celular,6500,2,2016-12-05
Smart TV 50' 4K,Televisão,2600,2,2016-12-05
Smart TV LED Full HD 55',Televisão,2000,4,2016-12-05
Câmera Digital Rebel T6,Câmera,1500,1,2016-12-05
Samsung Dual Core,Notebook,1500,2,2016-12-05
Câmera Digital Rebel T6,Câmera,1500,2,2016-12-05
Samsung Dual Core,Notebook,1500,3,2016-12-05
Inspiron 15,Notebook,2300,3,2016-12-05
Câmera Coolpix L340,Câmera,1550,2,2016-12-05
Galaxy S8,Celular,3000,4,2016-12-05
Smart TV 50' 4K,Televisão,2600,5,2016-12-05
iPhone XS,Celular,6500,3,2016-12-05
Moto Z,Celular,1500,5,2016-12-05
Aspire 5,Notebook,2400,5,2016-12-06
Câmera Digital Rebel T6,Câmera,1500,5,2016-12-06
Smart Watch MI,Smart Watch,1200,5,2016-12-06
Smart Watch MI,Smart Watch,1200,4,2016-12-06
Galaxy S10,Celular,4500,2,2016-12-06
Moto G7,Celular,1400,3,2016-12-06
Smart Watch MI,Smart Watch,1200,3,2016-12-06
Smart TV LED Full HD 55',Televisão,2000,4,2016-12-06
Apple Watch,Smart Watch,1750,2,2016-12-06
Moto Z,Celular,1500,4,2016-12-06
Aspire 5,Notebook,2400,3,2016-12-06
Moto G7,Celular,1400,1,2016-12-06
iPhone XS,Celular,6500,5,2016-12-06
iPhone 7,Celular,2500,4,2016-12-07
Câmera Digital Sony Cyber,Câmera,700,5,2016-12-07
TV LED 32',Televisão,1400,2,2016-12-07
Câmera Coolpix L340,Câmera,1550,2,2016-12-07
Moto G7,Celular,1400,1,2016-12-07
iPhone 7,Celular,2500,4,2016-12-07
Câmera Digital Sony Cyber,Câmera,700,2,2016-12-07
Câmera Digital Rebel T6,Câmera,1500,3,2016-12-07
Smart Watch MI,Smart Watch,1200,2,2016-12-07
Smart TV 50' 4K,Televisão,2600,1,2016-12-07
Câmera Coolpix L340,Câmera,1550,5,2016-12-07
Samsung Dual Core,Notebook,1500,5,2016-12-07
Smart TV 50' 4K,Televisão,2600,3,2016-12-07
iPhone 6S,Celular,1900,5,2016-12-07
Samsung Dual Core,Notebook,1500,3,2016-12-07
iPhone XS,Celular,6500,1,2016-12-07
Smart Watch MI,Smart Watch,1200,3,2016-12-07
iPhone 7,Celular,2500,3,2016-12-08
Moto G7,Celular,1400,2,2016-12-08
Câmera Coolpix L340,Câmera,1550,4,2016-12-08
iPhone XS,Celular,6500,3,2016-12-08
Smart Watch MI,Smart Watch,1200,1,2016-12-08
iPhone XS,Celular,6500,5,2016-12-08
Smart Watch MI,Smart Watch,1200,3,2016-12-08
Galaxy J8,Celular,1100,3,2016-12-08
Moto G7,Celular,1400,4,2016-12-08
Samsung Dual Core,Notebook,1500,1,2016-12-08
Smart Watch MI,Smart Watch,1200,3,2016-12-08
Smart TV 50' 4K,Televisão,2600,4,2016-12-08
Câmera Coolpix L340,Câmera,1550,2,2016-12-08
Câmera Coolpix L340,Câmera,1550,4,2016-12-08
Smart TV LED Full HD 55',Televisão,2000,1,2016-12-08
Apple Watch,Smart Watch,1750,4,2016-12-08
Inspiron 15,Notebook,2300,3,2016-12-08
Inspiron 15,Notebook,2300,4,2016-12-08
Apple Watch,Smart Watch,1750,4,2016-12-08
Smart TV 50' 4K,Televisão,2600,1,2016-12-08
Galaxy S8,Celular,3000,1,2016-12-08
Moto Z,Celular,1500,2,2016-12-08
Samsung Dual Core,Notebook,1500,3,2016-12-08
Samsung Dual Core,Notebook,1500,4,2016-12-09
Smart TV 50' 4K,Televisão,2600,2,2016-12-09
Smart TV LED Full HD 55',Televisão,2000,4,2016-12-09
iPhone 7,Celular,2500,2,2016-12-09
iPhone 7,Celular,2500,2,2016-12-09
Samsung Dual Core,Notebook,1500,5,2016-12-09
Moto G7,Celular,1400,5,2016-12-09
Câmera Digital Rebel T6,Câmera,1500,1,2016-12-09
iPhone XS,Celular,6500,3,2016-12-09
Galaxy S8,Celular,3000,4,2016-12-09
Smart TV 50' 4K,Televisão,2600,2,2016-12-09
Smart TV 75' 4K,Televisão,5200,4,2016-12-09
Moto G7,Celular,1400,4,2016-12-09
Câmera Coolpix L340,Câmera,1550,4,2016-12-09
Galaxy S8,Celular,3000,1,2016-12-09
Aspire 5,Notebook,2400,1,2016-12-09
Galaxy S8,Celular,3000,2,2016-12-09
Galaxy S10,Celular,4500,3,2016-12-09
Câmera Digital Sony Cyber,Câmera,700,5,2016-12-09
Smart Watch MI,Smart Watch,1200,5,2016-12-09
Aspire 5,Notebook,2400,1,2016-12-09
Câmera Digital Rebel T6,Câmera,1500,5,2016-12-09
Smart TV 50' 4K,Televisão,2600,5,2016-12-10
Aspire 5,Notebook,2400,5,2016-12-10
Moto G7,Celular,1400,4,2016-12-10
Câmera Coolpix L340,Câmera,1550,4,2016-12-10
Aspire 5,Notebook,2400,4,2016-12-10
Inspiron 15,Notebook,2300,5,2016-12-10
Smart TV 50' 4K,Televisão,2600,1,2016-12-10
Galaxy S10,Celular,4500,2,2016-12-10
iPhone 6S,Celular,1900,3,2016-12-10
Smart TV LED Full HD 55',Televisão,2000,3,2016-12-10
Dell G7,Notebook,5500,1,2016-12-10
Smart TV 50' 4K,Televisão,2600,2,2016-12-10
Galaxy S8,Celular,3000,1,2016-12-10
Moto G7,Celular,1400,5,2016-12-10
Moto G7,Celular,1400,4,2016-12-10
Galaxy J8,Celular,1100,2,2016-12-10
Smart TV 50' 4K,Televisão,2600,1,2016-12-10
Smart TV 50' 4K,Televisão,2600,5,2016-12-10
Smart TV 50' 4K,Televisão,2600,5,2016-12-10
Câmera Coolpix L340,Câmera,1550,3,2016-12-11
Aspire 5,Notebook,2400,2,2016-12-11
Dell G7,Notebook,5500,4,2016-12-11
Câmera Digital Sony Cyber,Câmera,700,3,2016-12-11
Smart TV LED Full HD 55',Televisão,2000,4,2016-12-11
Dell G7,Notebook,5500,5,2016-12-11
Câmera Digital Sony Cyber,Câmera,700,1,2016-12-11
Apple Watch,Smart Watch,1750,2,2016-12-11
Câmera Digital Sony Cyber,Câmera,700,4,2016-12-11
Galaxy S8,Celular,3000,3,2016-12-11
Câmera Digital Rebel T6,Câmera,1500,5,2016-12-11
Moto Z,Celular,1500,1,2016-12-11
Moto Z,Celular,1500,5,2016-12-11
Smart TV 50' 4K,Televisão,2600,2,2016-12-11
Câmera Digital Sony Cyber,Câmera,700,4,2016-12-11
Smart Watch MI,Smart Watch,1200,1,2016-12-11
Galaxy S8,Celular,3000,5,2016-12-11
Câmera Coolpix L340,Câmera,1550,2,2016-12-11
Galaxy S10,Celular,4500,2,2016-12-11
Smart Watch MI,Smart Watch,1200,3,2016-12-11
Câmera Digital Sony Cyber,Câmera,700,3,2016-12-11
Aspire 5,Notebook,2400,2,2016-12-11
Samsung Dual Core,Notebook,1500,1,2016-12-12
Câmera Coolpix L340,Câmera,1550,5,2016-12-12
Moto G7,Celular,1400,2,2016-12-12
Galaxy S8,Celular,3000,1,2016-12-12
Câmera Digital Sony Cyber,Câmera,700,5,2016-12-12
Smart TV 50' 4K,Televisão,2600,2,2016-12-12
Smart TV 50' 4K,Televisão,2600,4,2016-12-12
Moto G7,Celular,1400,2,2016-12-12
Galaxy S8,Celular,3000,2,2016-12-12
Moto G7,Celular,1400,2,2016-12-12
Smart TV 50' 4K,Televisão,2600,2,2016-12-12
Samsung Dual Core,Notebook,1500,3,2016-12-12
Moto G7,Celular,1400,2,2016-12-12
iPhone XS,Celular,6500,4,2016-12-12
Aspire 5,Notebook,2400,3,2016-12-12
iPhone XS,Celular,6500,5,2016-12-12
Smart TV 50' 4K,Televisão,2600,1,2016-12-12
Galaxy S10,Celular,4500,4,2016-12-12
Samsung Dual Core,Notebook,1500,5,2016-12-12
Samsung Dual Core,Notebook,1500,4,2016-12-12
Smart TV 50' 4K,Televisão,2600,4,2016-12-12
Câmera Digital Rebel T6,Câmera,1500,1,2016-12-12
Smart TV 50' 4K,Televisão,2600,2,2016-12-12
Inspiron 15,Notebook,2300,1,2016-12-12
Smart TV LED Full HD 55',Televisão,2000,1,2016-12-12
Inspiron 15,Notebook,2300,5,2016-12-13
Smart TV LED Full HD 55',Televisão,2000,1,2016-12-13
Inspiron 15,Notebook,2300,5,2016-12-13
Galaxy J8,Celular,1100,4,2016-12-13
Câmera Coolpix L340,Câmera,1550,2,2016-12-13
Dell G7,Notebook,5500,2,2016-12-13
Aspire 5,Notebook,2400,1,2016-12-13
Câmera Digital Sony Cyber,Câmera,700,4,2016-12-13
Câmera Digital Rebel T6,Câmera,1500,4,2016-12-13
Tablet M10 Android,Tablet,2000,1,2016-12-13
Smart Watch MI,Smart Watch,1200,2,2016-12-13
Câmera Coolpix L340,Câmera,1550,1,2016-12-13
Smart TV 50' 4K,Televisão,2600,5,2016-12-13
iPhone 6S,Celular,1900,4,2016-12-13
iPhone 7,Celular,2500,1,2016-12-13
Aspire 5,Notebook,2400,2,2016-12-13
Câmera Digital Sony Cyber,Câmera,700,5,2016-12-13
Inspiron 15,Notebook,2300,1,2016-12-13
Câmera Digital Sony Cyber,Câmera,700,2,2016-12-13
iPhone XS,Celular,6500,5,2016-12-13
Samsung Dual Core,Notebook,1500,4,2016-12-13
iPhone XS,Celular,6500,1,2016-12-13
Moto G7,Celular,1400,4,2016-12-13
Câmera Digital Rebel T6,Câmera,1500,1,2016-12-13
Moto G7,Celular,1400,1,2016-12-13
Smart TV LED Full HD 55',Televisão,2000,2,2016-12-13
Samsung Dual Core,Notebook,1500,4,2016-12-13
Samsung Dual Core,Notebook,1500,5,2016-12-13
iPhone 7,Celular,2500,2,2016-12-13
Smart TV 50' 4K,Televisão,2600,1,2016-12-14
Smart Watch MI,Smart Watch,1200,3,2016-12-14
Moto G7,Celular,1400,4,2016-12-14
Smart Watch MI,Smart Watch,1200,3,2016-12-14
Smart Watch MI,Smart Watch,1200,4,2016-12-14
Moto G7,Celular,1400,1,2016-12-14
Aspire 5,Notebook,2400,2,2016-12-14
Moto G7,Celular,1400,2,2016-12-14
Câmera Digital Rebel T6,Câmera,1500,1,2016-12-14
Smart TV 50' 4K,Televisão,2600,4,2016-12-14
Samsung Dual Core,Notebook,1500,2,2016-12-14
iPhone 6S,Celular,1900,2,2016-12-14
Inspiron 15,Notebook,2300,3,2016-12-14
iPhone XS,Celular,6500,4,2016-12-14
Câmera Coolpix L340,Câmera,1550,5,2016-12-14
Smart TV 50' 4K,Televisão,2600,3,2016-12-14
TV LED 32',Televisão,1400,4,2016-12-14
Samsung Dual Core,Notebook,1500,1,2016-12-14
Câmera Digital Sony Cyber,Câmera,700,1,2016-12-14
Câmera Digital Rebel T6,Câmera,1500,1,2016-12-14
Galaxy S8,Celular,3000,4,2016-12-14
Moto G7,Celular,1400,4,2016-12-15
Câmera Digital Sony Cyber,Câmera,700,5,2016-12-15
Aspire 5,Notebook,2400,3,2016-12-15
Galaxy S10,Celular,4500,3,2016-12-15
Moto G7,Celular,1400,2,2016-12-15
Moto Z,Celular,1500,3,2016-12-15
Câmera Digital Sony Cyber,Câmera,700,2,2016-12-15
Inspiron 15,Notebook,2300,2,2016-12-15
Galaxy S8,Celular,3000,2,2016-12-15
Smart Watch MI,Smart Watch,1200,2,2016-12-15
Smart TV LED Full HD 55',Televisão,2000,4,2016-12-15
Moto G7,Celular,1400,1,2016-12-15
Moto G7,Celular,1400,5,2016-12-15
iPhone XS,Celular,6500,4,2016-12-15
Câmera Coolpix L340,Câmera,1550,3,2016-12-15
Câmera Digital Sony Cyber,Câmera,700,5,2016-12-15
Smart TV LED Full HD 55',Televisão,2000,2,2016-12-15
Galaxy J8,Celular,1100,3,2016-12-15
Inspiron 15,Notebook,2300,3,2016-12-15
Moto Z,Celular,1500,4,2016-12-15
iPhone 6S,Celular,1900,2,2016-12-15
Câmera Digital Rebel T6,Câmera,1500,4,2016-12-15
Smart TV LED Full HD 55',Televisão,2000,1,2016-12-16
Samsung Dual Core,Notebook,1500,2,2016-12-16
iPhone 7,Celular,2500,4,2016-12-16
iPad 32GB Wifi,Tablet,750,5,2016-12-16
Moto G7,Celular,1400,1,2016-12-16
Câmera Digital Sony Cyber,Câmera,700,3,2016-12-16
iPhone 7,Celular,2500,3,2016-12-16
Smart TV 50' 4K,Televisão,2600,3,2016-12-16
Câmera Digital Rebel T6,Câmera,1500,2,2016-12-16
Galaxy J8,Celular,1100,2,2016-12-16
Smart Watch MI,Smart Watch,1200,1,2016-12-16
Smart Watch MI,Smart Watch,1200,1,2016-12-16
Câmera Digital Rebel T6,Câmera,1500,2,2016-12-16
Samsung Dual Core,Notebook,1500,1,2016-12-16
Câmera Coolpix L340,Câmera,1550,4,2016-12-16
Smart TV LED Full HD 55',Televisão,2000,5,2016-12-16
Aspire 5,Notebook,2400,2,2016-12-16
Smart TV 50' 4K,Televisão,2600,4,2016-12-16
Câmera Digital Rebel T6,Câmera,1500,4,2016-12-16
Smart Watch MI,Smart Watch,1200,5,2016-12-16
Moto Z,Celular,1500,3,2016-12-16
iPhone 6S,Celular,1900,2,2016-12-16
iPhone 7,Celular,2500,4,2016-12-17
Câmera Digital Sony Cyber,Câmera,700,5,2016-12-17
Câmera Digital Rebel T6,Câmera,1500,4,2016-12-17
Smart TV 50' 4K,Televisão,2600,2,2016-12-17
Aspire 5,Notebook,2400,3,2016-12-17
Dell G7,Notebook,5500,5,2016-12-17
Moto G7,Celular,1400,1,2016-12-17
Aspire 5,Notebook,2400,5,2016-12-17
Moto G7,Celular,1400,1,2016-12-17
Câmera Digital Sony Cyber,Câmera,700,4,2016-12-17
Câmera Digital Rebel T6,Câmera,1500,1,2016-12-17
Moto G7,Celular,1400,1,2016-12-17
Galaxy S8,Celular,3000,1,2016-12-17
Smart Watch MI,Smart Watch,1200,3,2016-12-17
Dell G7,Notebook,5500,5,2016-12-17
Aspire 5,Notebook,2400,3,2016-12-17
Galaxy S10,Celular,4500,3,2016-12-17
Câmera Digital Sony Cyber,Câmera,700,4,2016-12-17
Samsung Dual Core,Notebook,1500,2,2016-12-17
Inspiron 15,Notebook,2300,3,2016-12-17
Câmera Digital Sony Cyber,Câmera,700,4,2016-12-18
Moto G7,Celular,1400,1,2016-12-18
Smart TV 50' 4K,Televisão,2600,3,2016-12-18
